"","abstract","yearsActive","genre","recordLabel","instrument","occupation","yearsActive_first"
"Karriem_Riggins","Karriem Riggins is an American jazz drummer, hip hop producer, DJ and songwriter. ","1990","Jazz,Hip_hop_music  ","","Bass_guitar,Drum_kit,Percussion_instrument,Phonograph,Keyboard_instrument,Akai_MPC  ",",record producer ,songwriter ,Multi_instrumentalist ,disc jockey ",1990
"Charlie_Barnet","Charles Daly Barnet (October 26, 1913 ??September 4, 1991) was an American jazz saxophonist, composer, and bandleader. His major recordings were ""Skyliner"", ""Cherokee"", ""The Wrong Idea"", ""Scotch and Soda"", ""In a Mizz"", and ""Southland Shuffle"". ","1932","Swing_music,Big_band","","Saxophone ","Bandleader, musician, composer ",1932
"Wayne_Shorter","Wayne Shorter (born August 25, 1933) is an American jazz saxophonist and composer. Shorter came to wide prominence in the late 1950s as a member of, and eventually primary composer for, Art Blakey's Jazz Messengers. In the 1960s, he went on to join Miles Davis's Second Great Quintet, and from there he co_founded the jazz fusion band Weather Report. He has recorded over 20 albums as a bandleader. Many of Shorter's compositions have become jazz standards, and his output has earned worldwide recognition, critical praise and various commendations. Shorter won 11 Grammy Awards. He has also received acclaim for his mastery of the soprano saxophone (after switching his focus from the tenor in the late 1960s), beginning an extended reign in 1970 as Down Beat's annual poll_winner on that instrument, winning the critics' poll for 10 consecutive years and the readers' for 18. The New York Times described Shorter in 2008 as ""probably jazz's greatest living small_group composer and a contender for greatest living improviser"". In 2017, he was awarded the Polar Music Prize. ","1958","Post_bop,Modal_jazz,Third_stream,Hard_bop,Jazz_fusion,Crossover_jazz","Columbia_Records,Verve_Records,Blue_Note_Records","Soprano_saxophone,Tenor_saxophone","Musician, composer ",1958
"Shannon_Powell","Shannon Powell (born April 8, 1962) is an American jazz and ragtime drummer. He has toured internationally and played with Ellis Marsalis, Harry Connick, Jr., Danny Barker, Branford Marsalis, Wynton Marsalis and the Lincoln Center Jazz Orchestra, Diana Krall, Earl King, Dr. John, Marcus Roberts, John Scofield, Jason Marsalis, Leroy Jones, Nicholas Payton, and Donald Harrison Jr. Powell toured and recorded with fellow New Orleans native, Harry Connick Jr. ","1970","Dixieland,Jazz","","Drums ","Musician ",1970
"Mulgrew_Miller","Mulgrew Miller (August 13, 1955 ??May 29, 2013) was an American jazz pianist, composer, and educator. As a child he played in churches and was influenced on piano by Ramsey Lewis and then Oscar Peterson. Aspects of their styles remained in his playing, but he added the greater harmonic freedom of McCoy Tyner and others in developing as a hard bop player and then in creating his own style, which influenced others from the 1980s on. After leaving university he was pianist with the Duke Ellington Orchestra for three years, then accompanied vocalist Betty Carter. Three_year stints with trumpeter Woody Shaw and with drummer Art Blakey's high_profile Jazz Messengers followed, by the end of which Miller had formed his own bands and begun recording under his own name. He was then part of drummer Tony Williams' quintet from its foundation, while continuing to play and record with numerous other leaders, mostly in small groups. Miller was Director of Jazz Studies at William Paterson University from 2005, and continued to play and tour internationally with other high_profile figures in the music until his death from a stroke at the age of 57. ","1970","Jazz ","Maxjazz,Landmark_Records,Stunt_Records,Novus_Records","Piano ","Musician, composer, educator ",1970
"Frank_McComb","Frank McComb (born July 15, 1970) is a soul singer and record producer. He has collaborated with Prince, Chaka Khan, Will Smith, Najee, Branford Marsalis, George Duke, Frankie Beverly and Maze, Phyllis Hyman, Gamble and Huff, Patrice Rushen, Lalah Hathaway, Fred Hammond, and John P. Kee. ","1990","R&B, gospel, soul ","Columbia_Records,Motown","Piano, vocals ","Singer, songwriter ",1990
"Clifford_Brown","Clifford Benjamin Brown (October 30, 1930 ??June 26, 1956) was an American jazz trumpeter. He died at the age of 25 in a car accident, leaving behind four years' worth of recordings. His compositions ""Sandu"", ""Joy Spring"", and ""Daahoud"" have become jazz standards. Brown won the DownBeat magazine Critics' Poll for New Star of the Year in 1954; he was inducted into the DownBeat Hall of Fame in 1972. ","1949","Jazz","","Trumpet ","Musician, composer ",1949
"Veronica_Swift","Veronica Swift (born May 14, 1994) is an American jazz and bebop singer. ","2004","Jazz,Bebop  ","Mack_Avenue_Records","","Singer ",2004
"Buster_Williams","Charles Anthony ""Buster"" Williams (born April 17, 1942) is an American jazz bassist. Williams is known for his membership in pianist Herbie Hancock's early 1970s group, working with guitarist Larry Coryell from the 1980s to present, working in the Thelonious Monk repertory band Sphere and as the accompanist of choice for many singers, including Nancy Wilson. ","1959","Jazz, jazz fusion ","","Double bass ","Musician ",1959
"Elvin_Jones","Elvin Ray Jones (September 9, 1927 ??May 18, 2004) was an American jazz drummer of the post_bop era. He showed an interest in drums at a young age, watching the circus bands march by his family's home in Pontiac, Michigan. He served in the United States Army from 1946 to 1949 and subsequently played in a Detroit house band led by Billy Mitchell. He moved to New York City in 1955 and worked as a drummer for John Coltrane, Charles Mingus, Teddy Charles, Bud Powell and Miles Davis. From 1960 to 1966, he was a member of the John Coltrane quartet (along with Jimmy Garrison on bass and McCoy Tyner on piano), a celebrated recording phase, appearing on such albums as My Favorite Things, A Love Supreme, Ascension, and Live at Birdland. Following his work with Coltrane, Jones led several small groups, some under the name The Elvin Jones Jazz Machine. His brothers Hank Jones and Thad Jones were also jazz musicians with whom he recorded. He was inducted into the Modern Drummer Hall of Fame in 1995. ","1948","Avant_garde_jazz,Post_bop,Modal_jazz,Hard_bop  ","","Drums   ,percussion ","Musician   ,bandleader ",1948
"Maynard_Ferguson","Walter Maynard Ferguson CM (May 4, 1928 ??August 23, 2006) was a Canadian jazz trumpeter and bandleader. He came to prominence in Stan Kenton's orchestra before forming his own big band in 1957. He was noted for his bands, which often served as stepping stones for up_and_coming talent, his versatility on several instruments, and his ability to play in a high register. ","1939","Jazz  ,pop ,jazz fusion ,jazz rock ","Columbia_Records,EmArcy_Records,Mainstream_Records,Roulette_Records","Baritone_horn,Flugelhorn,French_horn,Firebird_(trumpet),Superbone,Types_of_trombone  ,Trumpet ,soprano saxophone ,trombone ","Musician   ,bandleader ",1939
"Lionel_Hampton","Lionel Leo Hampton (April 20, 1908 ??August 31, 2002) was an American jazz vibraphonist, pianist, percussionist, and bandleader. Hampton worked with jazz musicians from Teddy Wilson, Benny Goodman, and Buddy Rich, to Charlie Parker, Charles Mingus, and Quincy Jones. In 1992, he was inducted into the Alabama Jazz Hall of Fame, and he was awarded the National Medal of Arts in 1996. ","1927","Swing_music,Blues,Big_band,Mainstream_jazz  ","Decca_Records","Vibraphone  ,percussion ,piano ","Musician   ,composer ",1927
"Count_Basie","William James ""Count"" Basie (/?beɪsi/; August 21, 1904 ??April 26, 1984) was an American jazz pianist, organist, bandleader, and composer. In 1935, he formed the Count Basie Orchestra, and in 1936 took them to Chicago for a long engagement and their first recording. He led the group for almost 50 years, creating innovations like the use of two ""split"" tenor saxophones, emphasizing the rhythm section, riffing with a big band, using arrangers to broaden their sound, and others. Many musicians came to prominence under his direction, including the tenor saxophonists Lester Young and Herschel Evans, the guitarist Freddie Green, trumpeters Buck Clayton and Harry ""Sweets"" Edison, plunger trombonist Al Grey, and singers Jimmy Rushing, Helen Humes, Thelma Carpenter, and Joe Williams. ","1924","Swing_music,Blues,Jazz,Big_band  ","","Organ_(music),Piano   ","Musician   ,bandleader ,composer ",1924
"Lenny_Kravitz","Leonard Albert Kravitz (born May 26, 1964) is an American singer_songwriter, record producer, multi_instrumentalist, and actor. His style incorporates elements of rock, blues, soul, R&B, funk, jazz, reggae, hard rock, psychedelic, pop, folk, and ballads. Kravitz won the Grammy Award for Best Male Rock Vocal Performance four years in a row from 1999 to 2002, breaking the record for most wins in that category and setting the record for most consecutive wins in one category by a male. He has been nominated for and won other awards, including American Music Awards, MTV Video Music Awards, Radio Music Awards, Brit Awards, and Blockbuster Entertainment Awards. Kravitz's hit singles include ""It Ain't Over 'til It's Over"" (1991) and ""Again"" (2000), each of which reached the top 10 on the Billboard Top 100 chart; other hits include ""Let Love Rule"" (1989), ""Always on the Run"" (1991), ""Are You Gonna Go My Way"" (1993), ""Fly Away"" (1998), and ""American Woman"" (1999), each of which reached the top 10 on the Alternative Airplay chart. Kravitz was ranked at No. 93 on VH1's ""100 Greatest Artists of Hard Rock"". He was made an Officer of the Ordre des Arts et des Lettres in 2011, and has played Cinna in the Hunger Games film series. In his career, Kravitz has sold over 40 million albums worldwide. ","1981","","","","Singer   ,actor ,musician ,record producer ,songwriter ",1981
"Victor_Goines","Victor Louis Goines (born August 6, 1961) is a jazz saxophonist and clarinetist. From 2000 to 2007, he was director of the jazz program at Juilliard. He has been a member of Jazz at Lincoln Center Orchestra and the Wynton Marsalis Septet since 1993. Goines has served as the director of jazz studies and professor for the Bienen School of Music at Northwestern University since 2008. Goines has collaborated with Terence Blanchard, Dee Dee Bridgewater, Ruth Brown, Ray Charles, Bo Diddley, Bob Dylan, Dizzy Gillespie, Freddie Green, Lionel Hampton, Freddie Hubbard, B.B. King, Lenny Kravitz, Branford Marsalis, Ellis Marsalis, James Moody, Dianne Reeves, Marcus Roberts, Diana Ross, Eric Clapton, Wycliffe Gordon, and Stevie Wonder. He has performed on more than 20 recordings, including the soundtracks for three Ken Burns documentaries and the films Undercover Blues (1993), Night Falls on Manhattan (1997), and Rosewood (1997). He has composed more than 200 original works, including Jazz at Lincoln Center and ASCAP commissions. He has also served on the faculties of Florida A&M University, University of New Orleans, Loyola University of New Orleans, and Xavier University of Louisiana. Goines is an artist for Buffet Crampon and Vandoren. ","1980","Avant_garde_jazz,Dixieland,Jazz,Big_band","Criss_Cross_Jazz","Saxophone, clarinet ","Musician, composer, educator ",1980
"Eric_Clapton","Eric Patrick Clapton, CBE (born 30 March 1945) is an English rock and blues guitarist, singer, and songwriter, widely regarded as one of the most important and influential guitarists of all time. Clapton ranked second in Rolling Stone's list of the ""100 Greatest Guitarists of All Time"" and fourth in Gibson's ""Top 50 Guitarists of All Time"". He was also named number five in Time magazine's list of ""The 10 Best Electric Guitar Players"" in 2009. After playing in a number of different local bands, Clapton joined the Yardbirds in 1963, replacing founding guitarist Top Topham. Dissatisfied with the change of the Yardbirds sound from blues rock to a more radio_friendly pop rock sound, Clapton left in 1965 to play with John Mayall & the Bluesbreakers. On leaving Mayall in 1966, after one album, he formed the power trio Cream with drummer Ginger Baker and bassist Jack Bruce, in which Clapton played sustained blues improvisations and ""arty, blues_based psychedelic pop"". After Cream broke up in November 1968, he formed the blues rock band Blind Faith with Baker, Steve Winwood, and Ric Grech, recording one album and performing on one tour before they broke up. Clapton embarked on a solo career in 1970. Alongside his solo career, he also performed with Delaney & Bonnie and Derek and the Dominos, with whom he recorded ""Layla"", one of his signature songs. He continued to record a number of successful solo albums and songs over the next several decades, including a 1974 cover of Bob Marley's ""I Shot the Sheriff"" (which helped reggae reach a mass market), the country_infused Slowhand album (1977) and the pop rock of 1986's August. Following the death of his son Conor in 1991, Clapton's grief was expressed in the song ""Tears in Heaven"", which appeared on his Unplugged album, and in 1996 he had another top_40 hit with the R&B crossover ""Change the World"". In 1998 he released the Grammy award_winning ""My Father's Eyes"". Since 1999, he has recorded a number of traditional blues and blues rock albums and hosted the periodic Crossroads Guitar Festival. His most recent studio album is Happy Xmas (2018). Clapton has received 18 Grammy Awards as well as the Brit Award for Outstanding Contribution to Music. In 2004 he was awarded a CBE for services to music. He has received four Ivor Novello Awards from the British Academy of Songwriters, Composers and Authors, including the Lifetime Achievement Award. He is the only three_time inductee to the Rock and Roll Hall of Fame: once as a solo artist and separately as a member of the Yardbirds and of Cream. In his solo career, Clapton has sold more than 280 million records worldwide, making him one of the best_selling musicians of all time. In 1998, Clapton, a recovering alcoholic and drug addict, founded the Crossroads Centre on Antigua, a medical facility for recovering substance abusers. ","1962","","","","Musician   ,record producer ,singer ,songwriter ",1962
"Dianne_Reeves","Dianne Elizabeth Reeves (born October 23, 1956) is an American jazz singer. ","1976","Jazz","Concord_Records,Blue_Note_Records","Vocals ","Musician ",1976
"Terri_Lyne_Carrington","Terri Lyne Carrington (born August 4, 1965) is an American jazz drummer, composer, producer, and educator. She has played with Dizzy Gillespie, Stan Getz, Clark Terry, Herbie Hancock, Wayne Shorter, Joe Sample, Al Jarreau, Yellowjackets, and many others. She toured with each of Hancock's musical configurations (from electric to acoustic) between 1997 and 2007. In 2007 she was appointed professor at her alma mater, Berklee College of Music, where she received an honorary doctorate in 2003. She has won three Grammy Awards, including a 2013 award for Best Jazz Instrumental Album, which established her as the first female musician to win a Grammy in this category. Carrington serves as Founder and Artistic Director of the Berklee Institute of Jazz and Gender Justice and The Carr Center in Detroit, MI. She also serves on the Board of Trustees for The Recording Academy, Board of Directors for International Society for Jazz Arrangers and Composers and the Advisory Board for The History Makers and New Music USA. ","1983","Jazz,Rhythm_and_blues","Verve_Forecast_Records,Concord_Jazz,ACT_Music","Drums ","Musician, composer, educator ",1983
"Alexa_Tarantino","Alexa Tarantino (born May 30, 1992, in West Hartford, Connecticut) is an American jazz saxophonist, woodwind doubler, composer and educator. ","","Jazz","Posi_Tone_Records","Clarinet,Flute,Saxophone,Woodwind_instrument","Musician ",
"Charlie_Haden","Charles Edward Haden (August 6, 1937 ??July 11, 2014) was an American jazz double bass player, bandleader, composer and educator whose career spanned more than 50 years. In the late 1950s, he was an original member of the ground_breaking Ornette Coleman Quartet. Haden revolutionized the harmonic concept of bass playing in jazz. German musicologist Joachim_Ernst Berendt wrote that Haden's ""ability to create serendipitous harmonies by improvising melodic responses to Coleman's free_form solos (rather than sticking to predetermined harmonies) was both radical and mesmerizing. His virtuosity lies?�in an incredible ability to make the double bass 'sound out'. Haden cultivated the instrument's gravity as no one else in jazz. He is a master of simplicity which is one of the most difficult things to achieve."" Haden played a vital role in this revolutionary new approach, evolving a way of playing that sometimes complemented the soloist and sometimes moved independently. In this respect, as did his predecessor bassists Jimmy Blanton and Charles Mingus, Haden helped liberate the bassist from a strictly accompanying role to becoming a more direct participant in group improvisation. In 1969, he formed his first band, the Liberation Music Orchestra, featuring arrangements by pianist Carla Bley. In the late 1960s, he became a member of pianist Keith Jarrett's trio, quartet and quintet. In the 1980s, he formed his band, Quartet West. Haden also often recorded and performed in a duo setting, with musicians including guitarist Pat Metheny and pianist Hank Jones. ","1957","Free jazz   ,hard bop ,folk jazz ,mainstream jazz ,post_bop ","","Double_bass","Musician, composer, bandleader, educator ",1957
"Larry_Willis","Lawrence Elliott Willis (December 20, 1942 ??September 29, 2019) was an American jazz pianist and composer. He performed in a wide range of styles, including jazz fusion, Afro_Cuban jazz, bebop, and avant_garde. Willis was born in New York City. After his first year studying music theory at the Manhattan School of Music he began performing regularly with Jackie McLean. After he graduated he made his first jazz recording, McLean's Right Now! in January 1965, which featured two of Willis' compositions. His first recording of any type, however, was as a singer with the , performing an opera by Aaron Copland under the direction of Leonard Bernstein. He decided to concentrate on jazz because of the difficulties African_American musicians had in finding work in concert music. Throughout his career he performed with a wide range of musicians, including several years as keyboardist for Blood, Sweat & Tears (beginning in 1972). He spent several years as pianist for trumpeters Nat Adderley and Woody Shaw as well as long and productive tenures with Roy Hargrove and with Jerry Gonzalez and his Fort Apache Band. His late recording with Paul Murphy, Exposé, demonstrated the fusion principles of bebop and avant_garde jazz. His composition ""Sanctuary"" began exploring works employing strings. After a successful performance in Frank Lloyd Wright's Annie Pfieffer Chapel at Florida Southern College's Child of the Sun Jazz Festival he was commissioned to write a full_scale orchestral work for jazz trio and orchestra. He worked with Hugh Masekela on a South African Suite of music and interpreted Miles Davis' work. He was in the Round About Midnight tour of Miles Davis' music. He received the Don Redman award in 2011, and the Benny Golson Jazz Master Award at Howard University in 2012. He died of an aneurysm in Baltimore at the age of 76. ","1965","Avant_garde_jazz,Post_bop,Afro_Cuban_jazz,Jazz,Bebop,Jazz_fusion","","Piano ","Musician, composer ",1965
"Gary_Numan","Gary Anthony James Webb (born 8 March 1958), better known as Gary Numan, is an English musician, singer, songwriter, composer, and record producer. He entered the music industry as the frontman of the new wave band Tubeway Army. After releasing two albums with the band, he released his debut solo album The Pleasure Principle in 1979, topping the UK Albums Chart. While his commercial popularity peaked in the late 1970s and early 1980s with hits including ""Are 'Friends' Electric?"" and ""Cars"" (both of which reached number one on the UK Singles Chart), Numan maintains a cult following. He has sold over 10 million records. Numan faced intense hostility from critics and fellow musicians in his early career, but has since come to be regarded as a pioneer of electronic music. He developed a signature sound consisting of heavy synthesiser hooks fed through guitar effects pedals, and is also known for his distinctive voice and androgynous ""android"" persona. In 2017, he received an Ivor Novello Award, the Inspiration Award, from the British Academy of Songwriters, Composers, and Authors. ","1977","Synth_pop,Electronica,New_wave_music,Industrial_rock,Electronic_rock  ","Bertelsmann_Music_Group,Metropolis_Records,Eagle_Records,Beggars_Banquet_Records,Cooking_Vinyl,Atco_Records,I.R.S._Records,Cleopatra_Records,Illegal_Records",",Vocals ,guitar ,keyboards ","Musician   ,composer ,record producer ,singer ,songwriter ",1977
"Lee_Morgan","Edward Lee Morgan (July 10, 1938 ??February 19, 1972) was an American jazz trumpeter and composer. One of the key hard bop musicians of the 1960s, Morgan came to prominence in his late teens, recording on John Coltrane's Blue Train (1957) and with the band of drummer Art Blakey before launching a solo career. Morgan stayed with Blakey until 1961 and started to record as leader in the late '50s. His song ""The Sidewinder"", on the album of the same name, became a surprise crossover hit on the pop and R&B charts in 1964, while Morgan's subsequent recordings found him touching on other styles of music such as post_bop and avant_garde jazz as his artistry matured. Soon after The Sidewinder was released, Morgan rejoined Blakey for a short period. After leaving Blakey for the final time, Morgan continued to work prolifically as both a leader and a sideman with the likes of Hank Mobley and Wayne Shorter, becoming a cornerstone of the Blue Note label. Morgan died at the age of 33 when his common_law wife Helen shot and killed him following a confrontation at Slugs' Saloon, in New York City. ","1956","Jazz,Bebop,Hard_bop","Vee_Jay_Records,Blue_Note_Records","Trumpet, flugelhorn ","Musician ",1956
"Kevin_Eubanks","Kevin Tyrone Eubanks (born November 15, 1957) is an American jazz and fusion guitarist and composer. He was the leader of The Tonight Show Band with host Jay Leno from 1995 to 2010. He also led the Primetime Band on the short lived The Jay Leno Show. ","1982","Jazz, rock ","Mack_Avenue_Records","Guitar ","Musician, composer ",1982
"Horace_Silver","Horace Ward Martin Tavares Silver (September 2, 1928 ??June 18, 2014) was an American jazz pianist, composer, and arranger, particularly in the hard bop style that he helped pioneer in the 1950s. After playing tenor saxophone and piano at school in Connecticut, Silver got his break on piano when his trio was recruited by Stan Getz in 1950. Silver soon moved to New York City, where he developed a reputation as a composer and for his bluesy playing. Frequent sideman recordings in the mid_1950s helped further, but it was his work with the Jazz Messengers, co_led by Art Blakey, that brought both his writing and playing most attention. Their Horace Silver and the Jazz Messengers album contained Silver's first hit, ""The Preacher"". After leaving Blakey in 1956, Silver formed his own quintet, with what became the standard small group line_up of tenor saxophone, trumpet, piano, bass, and drums. Their public performances and frequent recordings for Blue Note Records increased Silver's popularity, even through changes of personnel. His most successful album was Song for My Father, made with two iterations of the quintet in 1963 and 1964. Several changes occurred in the early 1970s: Silver disbanded his group to spend more time with his wife and to concentrate on composing; he included lyrics in his recordings; and his interest in spiritualism developed. The last two of these were often combined, resulting in commercially unsuccessful releases such as The United States of Mind series. Silver left Blue Note after 28 years, founded his own record label, and scaled back his touring in the 1980s, relying in part on royalties from his compositions for income. In 1993, he returned to major record labels, releasing five albums before gradually withdrawing from public view because of health problems. As a player, Silver transitioned from bebop to hard bop by stressing melody rather than complex harmony, and combined clean and often humorous right_hand lines with darker notes and chords in a near_perpetual left_hand rumble. His compositions similarly emphasized catchy melodies, but often also contained dissonant harmonies. Many of his varied repertoire of songs, including ""Doodlin'"", ""Peace"", and ""Sister Sadie"", became jazz standards that are still widely played. His considerable legacy encompasses his influence on other pianists and composers, and the development of young jazz talents who appeared in his bands over the course of four decades. ","1946","Soul_jazz,Jazz,Hard_bop,Jazz_fusion,Mainstream_jazz","Columbia_Records,Verve_Records,Blue_Note_Records,Impulse!_Records","Piano ","Musician, composer, arranger ",1946
